Mine / Project / Field,State /,Operating,Processed,Ore Grades,,,,,,,,,,,,,Direct Shipping Ore,,,,,,,,Copper Concentrate,,,,,,Lead Concentrate,,,,,,Zinc Concentrate,,,,,,Nickel Concentrate,,,,,,,,,,,,,,,,,,,Other Concentrate,,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Tailings,Dollied,Alluvial,Waste Rock,Extraction,Rock,,Status,Metals / Minerals
(in no particular order),Territory,Period,Mt ore,g/t Au,g/t Ag,%Cu,%Pb,%Zn,%Ni,%Co,%Sn,%WO3,%Fe,%Li,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,kt conc,%Pb,%Zn,g/t Ag,%Cu,g/t Au,kt conc,%Zn,%Pb,g/t Ag,%Cu,g/t Au,kt conc,%Ni,%Cu,%Co,g/t PGEs,g/t Au,g/t Ag,kt conc,%Sn,kt conc,%Sn,kt conc,%WO3,kt conc,%WO3,Mt conc,%Fe,kt conc,%Li,kt conc,%Cu,%Pb,%Zn,g/t Ag,g/t Au,Other,Other,t Au,t Ag,kt Cu,kt Pb,kt Zn,kt Ni,kt Co,Mt Fe ore,kt Sn,kt WO3,kt U3O8,Mt Mn conc,Mt brown coal,t PGEs,kt Sb,Mt PO4 rock,Mcarats,kt REO,kt Li,Other,Other,kg Au,kg Au,kg Au,Mt,Estimated,Estimated,,,
Tritton,NSW,2005-2021#,21.8,,,1.94,,,,,,,,,,,,,,,,,,,"1,671",24.34,1.0,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,83.8,406.6,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Cu
Girilambone,NSW,1913-1950@,0.0013,,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Girilambone (heap leach),NSW,1993-2002,9.20,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.1,,,,,,,,,,,,,,,,,,,,,,ND,,,,Rehab,Cu
Philips River,WA,1900-1971@,0.904,,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Northampton Field (PbAg),WA,1850-1966@,1.08E,,2E,,8.8E,,,,,,,,,,,,,,,,,,,,,,,,169.7E,57.8E,,8.5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,98.1,0.081,,,,,,,,,,,,,,,,,,,,ND,"Ag, Pb, Zn",,,Aban,Pb-Ag
Murrin Murrin-Mount Malcolm,WA,1899-1908,0.049,,,9.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
West Pilbara Field,WA,1898-1928,0.065,,,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
NT Top End Miscellaneous,NT,1886-1977@,0.035,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Braeside Field,WA,1915-1959@,0.25E,,39E,,13.3E,0.11E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9E,,66.7E,0.6E,195E,,,,,9.74,,33.3,0.28,,,,,,,,,,,,,,,,,,,,ND,"Ag, Pb, Zn",,,Aban,Pb-Ag-Zn
Ashburton Field,WA,1948-1959,0.123,,66E,,19.7E,,,,,,,,,,,,,,,,,,,,,,,,32.9,73.5,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,,24.2,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Pb-Ag
Silver Spur,QLD,1892-1925@,0.090,1.56,701,1.35,1.23,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140,62.8,1.21,1.10,0.184,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Pb-Zn-Ag-Au
Beltana (Pb),SA,1903-1908@,0.0042,,88E,,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,0.89,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Pb-Ag
Beltana-Aroona Group (Zn),SA,1974-2007@,0.725,,2.2E,,,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,244.3,,,,,,,,,,,,,,,,,,,,3.18,Pb,E,,C&M,Zn-Ag
Renison Bell,TAS,"1909-2021@,#",30.5,,,,,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.2,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,295.4,,,,,,,,,,,,,,,,ND,,,,Op,Sn
Mount Bischoff-West Bischoff,TAS,1874-1970@,5.68E,,,,,,,,0.99E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.4,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,56.1,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Mount Bischoff Tailings,TAS,1929-1957@,0.16E,,,,,,,,0.69E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.490,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Mount Bischoff - Alluvial & Tributers,TAS,1904-1977@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.711,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Cleveland-Luina,TAS,1909-1986@,5.87,,,0.28,,,,,0.69,,,,,,,,,,,,,,48.2,21.0,,,,,,,,,,,,,,,,,,,,,,,,43.9,56.4,,,,,,,,,,,,,,,,,,,,2.84,10.1,,,,,,24.8,,,,,,,,,,,,,,,,0.50,,E,,Aban,Sn-Cu
Ardlethan (mostly lode Sn),NSW,1912-1963,0.40E,,,,,,,,1.49E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12,65.2E,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Ardlethan (lode Sn),NSW,1964-1986,8.51,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1E,48.4E,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,,,,,,,,,,,,,,,,10.4,,E,,Aban,Sn
Gibsonvale-Kikoira (alluvial),NSW,1939-1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98E,60E,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,20,Sn,E,,Aban,Sn
Victoria (Au-Sn dredging & miscellaneous),VIC,1854-1979@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,66.0E,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Northern Territory (miscellaneous),NT,1846-1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Ottery,NSW,1883-1905,0.086,,,,,,,,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60E,70E,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,ND,,,,Aban,Sn-As
Anchor,TAS,1900-1996@,1.50E,,,,,,,,0.34E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56,68.6E,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Storey's Creek,TAS,1912-1979,1.13E,,,,,,,,0.41E,1.76E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32E,70.2E,,,13.7E,72.7E,,,,,,,,,,,,,,,,,,,,,,,2.33,9.97,,,,,,,,,,,,,,,ND,,,,Aban,Sn-W
Rossarden,TAS,1928-1982,8.51,,,,,,,,1.40,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,70.5,,,7.61,71.1,,,,,,,,,,,,,,,,,,,,,,,15.7,5.41,,,,,,,,,,,,,,,ND,,,,Aban,Sn-W
Royal George,TAS,1913-1934@,0.13E,,,,,,,,0.88E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.804,69.8E,,,,,,,,,,,,,,,,,,,,,,,,,,,0.561,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Dreadnought / Boulder,TAS,1909-1939@,0.111,,,,,,,,0.79E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Razorback,TAS,1975-1978,0.115,,,,,,,,0.38E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332,53.0E,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,,,,,,,,,,,,,,,0.20,,E,,Aban,Sn
King Island,TAS,1917-1991@,10.3,,,,,,,,,0.65E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3,71.6E,,,,,,,0.390,,,,,,59.2,%Mo,,,,,,,,,,39.9,,,,,,,,,,0.231,kt Mo,,,,16.5,,E,,C&M,W
Kara,TAS,1977-2021#,9.12E,,,,,,,,,0.15E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63E,68.6,,,,,,,,,,,,,,,,,,4.63,,4.4,,,,,,,,,,,,,,,11.0,"Fe ore, WO3",E,,Op,Fe-W
Shepherd & Murphy,TAS,1906-1935@,0.11E,,,,,,,,0.32E,0.40E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69E,70E,,,,,,,,,,,,,,,,,0.25,%Bi,,,,,,,,,0.48,0.32,,,,,,,,,,70,t Bi,,,,ND,"Sn, WO3",,,Aban,Sn-W
Oakleigh Creek,TAS,1980-1982,0.037,,,,,,,,,0.27E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140,72.4,,,,,,,,,,,,,,,,,,,,,,,,0.101,,,,,,,,,,,,,,,ND,,,,Aban,W
Herberton Field (lode Sn),QLD,1879-1981#,2.38,,,,,,,,2.3E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,70E,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3,,,,,,,,,,,,,,,,ND,Sn,,,Op,Sn
Herberton Field (alluvial Sn),QLD,1879-1981#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8,70E,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,,,,,,,,,,,,,,,ND,Sn,,,Op,Sn
North Queensland Fields (alluvial & lode Sn),QLD,1883-1996@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.6,70E,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Minor Queensland Fields (alluvial & lode Sn),QLD,1883-1996@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,70E,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Collingwood,QLD,2006-2008,0.523,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Pilbara Field (alluvial & lode Sn),WA,1893-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,68.5E,17.1,67.1E,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Greenbushes Field (alluvial & lode Sn),WA,1889-2008#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,67.5E,36.7,69.0E,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,,,,,,,,,,,,,,,ND,Sn,,,Op,Sn
Croydon Field Miscellaneous (alluvial & lode Sn),QLD,1900-1949@,0.0043,,,,,,,,3.0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182,70E,0.069,70E,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Irvinebank State Battery Tailings,QLD,1977-1978,0.128,,,,,,,,0.33E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,70E,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Stanthorpe Field (alluvial & dredging),QLD,1872-1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,70E,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Lachlan Field (mostly alluvial Sn),NSW,1901-1968@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.30,71.4E,,,,,,,,,,,,,,,,,,,,,,,,,3.66,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Miscellaneous NSW (alluvial & lode Sn),NSW,1872-1968@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,70E,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Peel-Uralla Fields (alluvial & lode Sn),NSW,1872-1968@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2,72.6E,,,,,,,,,,,,,,,,,,,,,,,,,63.2,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
New England Fields (alluvial & lode Sn),NSW,1872-1968@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.8,71.2E,,,,,,,,,,,,,,,,,,,,,,,,,73.1,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Loloma,QLD,1972-1980,0.416,,,,,,,,0.70E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16,70E,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Loloma tailings,QLD,1979,0.069,,,,,,,,0.45E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,70E,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
United North Australia,QLD,1977-1981,0.116,,,,,,,,0.21E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,70E,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Tommy Burns,QLD,1978-1984,0.178,,,,,,,,0.51E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,47.3E,,,,,,,,,,,,,,,,,,,,,,,,,,,0.904,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Loloma-Loudan,QLD,1973-1982@,0.488,,,,,,,,0.41E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,40.8E,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Great Cobar-Chesney,NSW,1871-1947@,4.26,2.17,11.0,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23,46.8,116.0,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Chesney,NSW,1887-1920@,0.019,8.19,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.31,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au
Chesney (1940s),NSW,1937-1952@,0.285,2.02,4.82,1.62,,,,,,,,,,,,,,,,,,,26.5E,17.4E,21.7E,51.8E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,1.37,4.61,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
Savage River,TAS,1968-2021#,263.9,,,,,,,,,,27.5E,27.5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5,65.7E,,,,,,,,,,,,,,,,,,110.5,,,,,,,,,,,,,,,,,934.9,,,,Op,Fe
Mount Weld,WA,2012-2021#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.7,,,,,,,ND,,,,Op,REO
Middleback Ranges (hematite),SA,1901-2021#,350.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.1,,,,,,,,,,,,,,,,,,,350.1,,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Middleback Ranges (magnetite),SA,2007-2021#,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,,,,,,,,,,,,,,,,,24.8,,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Wolfram Camp (QLD) (W; early era),QLD,1909-1961@,0.058E,,,,,,,,,1.1E,,,0.51% MoE,1.1% BiE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,70E,2.22,70E,,,,,,,,,,,573 t Mo conc @ ~50.9% Mo for 292 t MoE,661 t Bi conc @ ~22.5% Bi for 149 t BiE,,,,,,,,,,2.2,,,,,,,,,,0.413,kt Mo,,,,0.0051,WO3,E,,Aban,W-Mo-Bi
Wolfram Camp (QLD) (W; 1970s),QLD,1969-1972,0.029E,,,,,,,,,1.4E,,,0.42% MoE,0.43% BiE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,70E,,,,,,,,,,,,,238 t Mo conc @ ~50.9% Mo for 121 t MoE,123 t Bi conc @ ~22.5% Bi for 28 t BiE,,,,,,,,,,0.40,,,,,,,,,,,,,,,ND,WO3,,,Aban,W-Mo-Bi
Wolfram Camp (QLD) (W; alluvial),QLD,1975-1981,0.86E,,,,,,,,,0.063E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,70E,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,ND,WO3,,,Aban,W
Wolfram Camp (QLD) (W; 2000s),QLD,2009-2016@,0.85E,,,,,,,,,0.21E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,65E,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,,0.25,WO3,E,,C&M,W
Bamford Hill (alluvial),QLD,1979-1981,0.22E,,,,,,,,,0.055E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,70E,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,ND,WO3,,,Aban,W
Mount Carbine,QLD,1910-1961@,0.097,,,,,,,,,1.2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,70E,0.44,70E,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,0.017,WO3,E,,Aban,W
Mount Carbine,QLD,1972-1987,10.7E,,,,,,,,,0.08E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,65E,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,13.9,WO3,E,,Aban,W
Koorboora Battery,QLD,1904-1908,0.0089,,,,,,,,,11.0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,70E,,,,,,,,,,,,,45.8E,t Mo conc,,,,,,,,,,0.98,,,,,,,,,,,,,,,ND,WO3,,,Aban,W
Kangaroo Hills Field,QLD,1942-1952@,0.0010,,,,,,,,,2.5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,70E,,,,,,,,,,,,,45.8E,t Mo conc,,,,,,,,,,0.025,,,,,,,,,,,,,,,ND,WO3,,,Aban,W
Herberton Field (wolfram) Miscellaneous,QLD,1906-1967@,0.029,,,,,,,,,1.1E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,70E,0.030,70E,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,0.0013,WO3,E,,Aban,W
Mount Perseverance,QLD,1951-1961@,0.0019,,,,,,,,,1.0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,70E,0.020,70E,,,,,,,,,,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,0.017,WO3,E,,Aban,W
Wauchope Field (wolfram),NT,1916-1948@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,70E,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,ND,WO3,,,Aban,W
Benambra (wolfram),VIC,1908-1920@,0.0037,,,,,,,,,0.8E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,65E,,,,,,,,,,,,,,,,,,,,,,,,0.058,,,,,,,,,,,,,,,ND,WO3,,,Aban,W
Callawonga Creek (Queen Mary),SA,1911-1918,0.00028,,,,,,,,,1.5E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036,64E,,,,,,,,,,,,,,,,,,,,,,,,0.0023,,,,,,,,,,,,,,,ND,WO3,,,Aban,W
North-East Field (alluvial & dredging),TAS,1874-1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,70E,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Miscellaneous Tasmania (alluvial & dredging),TAS,1874-1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,70E,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,ND,,,,Aban,Sn
Robe River-Pannawonica,WA,1972-2021#,"1,126.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,126.3",57.5E,,,,,,,,,,,,,,,,,,"1,126.3",,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Robe River-West Angelas,WA,2002-2021#,540.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.7,,,,,,,,,,,,,,,,,,,540.7,,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Hamersley Iron-Eastern Range,WA,2004-2013,80.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1,,,,,,,,,,,,,,,,,,,80.1,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Hope Downs,WA,2007-2021#,533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,,,,,,,,,,,,,,,,,,,533.0,,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Wundowie,WA,1948-1955,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,48.91,,,,,,,,,,,,,,,,,,0.048,,,,,,,,,,,,,,,,,ND,,,,Aban,Fe
Robe River-Pellets,WA,1973-1979,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,62.60,,,,,,,,,,,,,,,,,,28.3,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Hamersley Iron-Pellets,WA,1968-1980,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,63.41,,,,,,,,,,,,,,,,,,22.3,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Koolyanobbing (1950s-70s),WA,1950-1983,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,62.55,,,,,,,,,,,,,,,,,,26.4,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Koolyanobbing (modern),WA,1994-2021#,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,3.7,,E,,Op,Fe
Koolanooka,WA,1966-1974,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23,60.08,,,,,,,,,,,,,,,,,,5.23,,,,,,,,,,,,,,,,,ND,,,,Aban,Fe
Shine,WA,2021,0.35E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35E,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,4.5,Fe ore,E,,C&M,Fe
Extension Hill,WA,2009-2020,28.0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0E,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,15.7,Fe ore,E,,C&M,Fe
Tallering Peak,WA,2004-2017,24.6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6E,,,,,,,,,,,,,,,,,,,24.6,,,,,,,,,,,,,,,,,181,Fe ore,E,,C&M,Fe
